1,Прочее,...
2,Металл,...
3,Арматура,...
4,Электрика,...
5,Сантехника,...
6,Крепежная техника,...
7,Профнастил,...
8,Теплоизоляция,...
9,Кабельно-проводниковая продукция (КПП),...
10,"Пена, герметики",...
11,"Фанера, OSB",...
12,Керамическая плитка,...
13,"Сыпучие - щебень, песок",...
14,Железобетонные изделия (ЖБИ),...
15,Канализация,...
